cik,name,sic,st
20199,"CLI Capital",6798,TX
20286,"CINCINNATI FINANCIAL CORP",6331,OH
20388,"CIT GROUP INC",6172,NY
20405,"CITICORP",6021,NY
20430,"Invesco Advisers, Inc.",6282,GA
20639,"AMBASE CORP",6512,CT
20691,"CLARION CAPITAL CORP",6799,OH
20947,"CLEVELAND ELECTRIC ILLUMINATING CO",6189,OH
20975,"CLEVETRUST REALTY INVESTORS",6798,OH
21175,"CNA FINANCIAL CORP",6331,IL
21221,"UNITED VANGUARD HOMES INC /DE",6513,NY
22120,"COLUMBIA MANAGEMENT ADVISORS INC",6311,MA
22272,"COMBINED INSURANCE CO OF AMERICA",6311,IL
22356,"COMMERCE BANCSHARES INC /MO/",6022,MO
22390,"COMMERCIAL BANCORPORATION OF COLORADO",6022,CO
22626,"COMMONWEALTH INDUSTRIES CORP",6311,IL
22872,"Advanzeon Solutions, Inc.",6324,FL
23593,"VINLAND PROPERTY TRUST",6798,TX
23795,"CONSOLIDATED TOMOKA LAND CO",6500,FL
24004,"DUNES HOTELS & CASINOS INC",6532,CA
24011,"CONTINENTAL CORP",6331,IL
24046,"CONTINENTAL GENERAL INSURANCE CO",6311,NE
24055,"CONTINENTAL HERITAGE CORP",6500,NV
24058,"CONTINENTAL BANK CORP",6021,IL
24077,"CONTINENTAL INVESTMENT CORP /GA/",6512,TX
24090,"CITIZENS INC",6311,TX
24148,"CONTINENTAL REAL ESTATE PARTNERS LTD",6512,MI
24240,"CONTRAN CORP",6141,TX
24581,"PREFERRED FINANCIAL RESOURCES INC",6770,NV
25118,"COTTON STATES LIFE INSURANCE CO /",6311,GA
25191,"COUNTRYWIDE FINANCIAL CORP",6035,CA
25232,"COUSINS PROPERTIES INC",6798,GA
25475,"CRAWFORD & CO",6411,GA
25598,"SPRINGLEAF FINANCE CORP",6141,IN
25600,"SPRINGLEAF FINANCE INC",6141,IN
27448,"DC TRADING & DEVELOPMENT CORP",6510,VA
27466,"DE ANZA PROPERTIES IX LIQUIDATING TRUST",6512,CA
27673,"DEERE JOHN CAPITAL CORP",6153,NV
27894,"CONTINENTAL CAPITAL CORP /CA",6770,CA
27984,"DELTONA CORP",6552,FL
28209,"DEPOSIT GUARANTY CORP",6021,MS
28238,"DERAND REAL ESTATE INVESTMENT TRUST",6798,NY
28412,"COMERICA INC /NEW/",6021,TX
29258,"DIVERSIFIED REALTY INC",6512,MT
29504,"OMEGA COMMERCIAL FINANCE CORP",6153,FL
29646,"CREDIT SUISSE (USA) INC",6200,NY
30163,"DREYFUS CORP",6282,NY
30906,"EAGLE EXPLORATION CO",6532,CO
31704,"TWENTY SERVICES INC",6799,AL
31862,"EICO ELECTRONIC INSTRUMENT CO INC",6799,NY
32232,"ELECTRONIC DATA SYSTEMS CORP",6799,TX
32776,"EMPIRE STATE BUILDING ASSOCIATES L.L.C.",6512,NY
33416,"ERIE FAMILY LIFE INSURANCE CO",6311,PA
33992,"KINGSTONE COMPANIES, INC.",6331,NY
34125,"F&M NATIONAL CORP",6021,VA
34587,"FARMERS GROUP INC",6331,CA
34782,"1ST SOURCE CORP",6022,IN
34884,"FEDERAL MORTGAGE CORP OF PUERTO RICO",6159,FL
34903,"FEDERAL REALTY INVESTMENT TRUST",6798,MD
35527,"FIFTH THIRD BANCORP",6022,OH
35679,"FINANCIAL CORP OF SANTA BARBARA",6036,CA
35733,"FINANCIAL INDUSTRIES CORP",6311,TX
35838,"FINANCIAL SERVICES CORPORATION OF THE MIDWEST",6022,IL
36011,"FIRESTONE FINANCIAL CORP",6153,MA
36029,"FIRST FINANCIAL BANKSHARES INC",6022,TX
36032,"REGIONS FINANCIAL CORP",6021,AL
36068,"FIRST AMERICAN CORP /TN/",6021,TN
36090,"BANK ONE CORP /OH/",6021,OH
36094,"MAGNA GROUP INC",6021,MO
36104,"US BANCORP \DE\",6021,MN
36121,"CREDIT SUISSE HOLDINGS (USA), INC.",6211,NY
36146,"TRUSTMARK CORP",6021,MS
36161,"FIRST CHICAGO CORP",6021,IL
36204,"FIRST COMMERCE CORP /LA/",6021,LA
36208,"KEYCORP/NY/OLD",6021,NY
36270,"M&T BANK CORP",6022,NY
36315,"FIRST FINANCIAL CORP /TX/",6162,TX
36340,"PREMIER FINANCIAL SERVICES INC",6022,SC
36352,"GOLDENBANKS OF COLORADO INC",6022,CO
36369,"FIRST HARTFORD CORP",6500,CT
36377,"FIRST HAWAIIAN, INC.",6022,HI
36414,"IFRB CORP",6021,TX
36416,"FIRST INTERNATIONAL BANCSHARES INC THRIFT INCENTIVE PLAN",6022,TX
36506,"MACKINAC FINANCIAL CORP /MI/",6022,MI
36510,"ALLFIRST FINANCIAL INC",6021,MD
36522,"FIRST MICHIGAN BANK CORP",6022,MI
36548,"FIRST MORTGAGE CORP /UT/",6199,UT
36604,"FIRST NATIONAL BANK OF ATLANTA",6189,DE
36672,"BANKBOSTON CORP",6021,MA
36678,"STAR BANC CORP /OH/",6021,OH
36703,"FIRST OF AMERICA BANK CORP /MI/",6021,MI
36725,"FIRST NATIONAL OF NEBRASKA INC",6021,NE
36781,"FIRST OF MICHIGAN CAPITAL CORP",6211,MI
36840,"FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY",6798,NJ
36954,"FIRST STATE BANKING CORP",6022,FL
36962,"HERITAGE BANCORP INC",6022,MA
36966,"FIRST HORIZON NATIONAL CORP",6021,TN
36995,"WACHOVIA CORP NEW",6021,NC
37008,"Winthrop Realty Liquidating Trust",6798,MA
37032,"FIRST VIRGINIA BANKS INC",6022,VA
37049,"FIRST WEST VIRGINIA BANCORP INC",6022,WV
37070,"FIRST WILKOW VENTURE",6512,IL
37076,"FIRSTAR CORP /WI/",6021,WI
37093,"FIRSTBANK OF ILLINOIS CO",6022,IL
37577,"FLORIDA FIRST EQUITIES CORP",6311,FL
37808,"FNB CORP/PA/",6021,PA
37941,"FOOTHILL GROUP INC",6153,CA
38009,"FORD MOTOR CREDIT CO LLC",6159,MI
38067,"FOREST CITY ENTERPRISES INC",6512,OH
38240,"FORTUNE NATIONAL CORP",6311,TX
38475,"FOURTH FINANCIAL CORP",6021,NC
38483,"AMERISTAR INTERNATIONAL HOLDINGS CORP",6500,AZ
38723,"1st FRANKLIN FINANCIAL CORP",6141,GA
38777,"FRANKLIN RESOURCES INC",6282,CA
38824,"FRAWLEY CORP",6552,CA
38979,"FREMONT BANCORPORATION",6022,CA
39244,"WASHINGTON SECURITY LIFE INSURANCE CO",6311,IL
39263,"CULLEN/FROST BANKERS, INC.",6021,TX
39311,"INDEPENDENT BANK CORP /MI/",6022,MI
39394,"BANK SOUTH CORP",6021,GA
39743,"LBU INC",6200,NJ
40023,"GARMENT CAPITOL ASSOCIATES",6512,NY
40454,"BOATMENS BANCSHARES INC /MO",6021,NC
40511,"GENERAL CREDIT CORP",6153,NY
40554,"GENERAL ELECTRIC CAPITAL CORP",6141,CT
40626,"GENERAL GROWTH PROPERTIES",6798,IA
40729,"Ally Financial Inc.",6172,MI
40799,"GENERAL REINSURANCE CORP",6331,CT
40806,"GENERAL RESIDENTIAL CORP",6552,CA
41336,"GIBRALTAR FINANCIAL CORP",6036,CA
42050,"WESTERN SIERRA MINING CORP",6794,AZ
42293,"GOLDEN WEST FINANCIAL CORP /DE/",6035,CA
43052,"FULL MOON UNIVERSE INC",6792,CA
43340,"INVESTORS INSURANCE GROUP INC",6799,PA
43410,"GREAT NORTHERN IRON ORE PROPERTIES",6795,MN
43512,"GREAT WESTERN FINANCIAL CORP",6035,CA
43566,"FIRST SUN SOUTH CORP",6311,SC
43960,"FINOVA CAPITAL CORP",6153,AZ
44358,"GUARANTY NATIONAL CORP",6331,CO
44689,"GYRODYNE CO OF AMERICA INC",6512,NY
45729,"HARRIS BANKCORP INC",6022,IL
45947,"HARTFORD LIFE INSURANCE CO",6311,CT
46195,"BANK OF HAWAII CORP",6022,HI
46238,"HAWKEYE BANCORPORATION",6022,IA
46267,"HAWTHORNE FINANCIAL CORP",6035,CA
46441,"HEALTH INSURANCE OF VERMONT INC",6311,VT
46591,"HEIGHTS FINANCE CORP",6141,IL
46656,"REGENCY EQUITIES CORP",6512,CA
46738,"HELLER FINANCIAL INC",6153,IL
47288,"CAPITAL ONE, NATIONAL ASSOCIATION",6021,NY
47312,"HICKORY FURNITURE CO",6199,IL
48105,"HOLOBEAM INC",6512,NJ
48174,"HOME BENEFICIAL CORP",6311,VA
48317,"HONEYWELL INTERNATIONAL FINANCE CO S A",6153,MN
48595,"STARWOOD HOTELS & RESORTS",6798,NY
48681,"HOUSEHOLD FINANCE CORP",6141,IL
48896,"HRE PROPERTIES",6798,CT
49071,"HUMANA INC",6324,KY
49196,"HUNTINGTON BANCSHARES INC/MD",6021,OH
49474,"SUN EQUITIES CORP",6552,NJ
49534,"LIFE PARTNERS HOLDINGS INC",6311,TX
49588,"ICH CORP /DE/",6321,CA
49600,"EASTGROUP PROPERTIES INC",6798,MS
49809,"ILLINOIS NATIONAL BANCORP INC",6021,IL
49899,"IMPERIAL BANCORP",6022,CA
49934,"IMPERIAL MANAGEMENT CORP",6411,GA
50277,"INDUSTRIAL DEVELOPMENT BANK OF ISRAEL LTD",6036,L3
50341,"FLEETBOSTON FINANCIAL CORP",6021,MA
50773,"INSURANCE INVESTORS & HOLDING CO",6311,IL
50916,"RBC Capital Markets, LLC",6211,MN
50982,"INTERCONTINENTAL LIFE CORP",6311,TX
51303,"NAVISTAR FINANCIAL CORP",6159,IL
51511,"MBI Financial, Inc.",6162,TX
51939,"CORUS BANKSHARES INC",6021,IL
52067,"INVESTMENT PROPERTIES ASSOCIATES",6512,NY
52234,"WINMILL & CO. INC",6282,NY
52268,"INVESTORS FINANCE INC",6141,HI
52301,"INVESTORS HERITAGE LIFE INSURANCE CO /KY/",6311,KY
52441,"INVESTORS TRUST INC",6311,IL
52617,"IRWIN FINANCIAL CORP",6022,IN
52723,"ISRAEL BANK OF AGRICULTURE LTD",6029,L3
52741,"IIC INDUSTRIES INC",6200,NY
52825,"ITT FINANCIAL CORP",6141,MO
52827,"RAYONIER INC",6798,FL
53316,"JEFFERSON BANCORP INC",6022,FL
53342,"JEFFERSON NATIONAL LIFE INSURANCE CO",6311,IN
53347,"JEFFERSON PILOT CORP",6311,NC
53500,"NEW BASTION DEVELOPMENT, INC.",6500,FL
53568,"JMB INCOME PROPERTIES LTD IV",6512,IL
53570,"JMBRS LIQUIDATING TRUST",6798,IL
54175,"ADVANTAGE CAPITAL DEVELOPMENT CORP",6770,FL
54187,"MAYS J W INC",6512,NY
54473,"KANSAS CITY LIFE INSURANCE CO",6311,MO
54727,"SUNAMERICA INC",6311,CA
54750,"KAUFMAN H W FINANCIAL GROUP INC",6411,MI
55195,"KEMPER CORP",6311,IL
55345,"KENTUCKY CENTRAL LIFE INSURANCE CO",6311,KY
55362,"Investors Heritage Capital Corp",6311,KY
55742,"KILLEARN PROPERTIES INC",6552,GA
55820,"ENSTAR GROUP INC",6799,AL
56396,"KNICKERBOCKER VILLAGE INC",6513,NY
57424,"CAPITOL STREET CORP",6141,MS
58204,"LEADVILLE CORP",6795,CO
58592,"4Licensing Corp",6794,NY
59532,"LINCOLN FINANCIAL CORP",6022,IN
59558,"LINCOLN NATIONAL CORP",6311,PA
59684,"UNITED LEISURE CORP",6519,CA
60086,"LOEWS CORP",6331,NY
60150,"SIENA HOLDINGS INC",6162,TX
60153,"LIBERTE INVESTORS/",6798,TX
60394,"LORELEI CORP",6770,NY
61336,"MADISON FINANCIAL CORP",6022,IL
61666,"MAJOR REALTY CORP",6552,FL
61796,"MAMMOTH MINING CO",6792,UT
61953,"MANHATTAN LIFE INSURANCE CO",6311,OH
62348,"HSBC USA INC",6022,NY
62362,"MARINE PETROLEUM TRUST",6792,TX
62709,"MARSH & MCLENNAN COMPANIES, INC.",6411,NY
62741,"MARSHALL & ILSLEY CORP/WI/",6021,WI
63330,"MAUI LAND & PINEAPPLE CO INC",6500,HI
63436,"HALL FINANCIAL GROUP INC",6510,TX
63848,"CHESAPEAKE INVESTORS INC/MD/",6552,MD
64309,"MCNEIL PACIFIC INVESTORS FUND 1972",6512,TX
64310,"MCNEIL REAL ESTATE FUND V LTD",6512,TX
64418,"MEADOWBROOK INC",6411,MI
64782,"MELLON FINANCIAL CORP",6021,PA
64907,"MERCANTILE BANCORPORATION INC",6021,MO
64908,"MERCANTILE BANKSHARES CORP",6022,MD
64996,"MERCURY GENERAL CORP",6331,CA
65100,"MERRILL LYNCH & CO., INC.",6211,NY
65172,"MESABI TRUST",6795,NY
65291,"HOMEFREE VILLAGE RESORTS INC",6531,CO
65384,"METROPOLITAN MORTGAGE & SECURITIES CO INC",6799,WA
65596,"SIEBERT FINANCIAL CORP",6211,NY
65637,"MICHIGAN FINANCIAL CORP",6022,MI
65660,"MICHIGAN NATIONAL CORP",6021,MI
65905,"CROWELL & CO INC /GA/",6552,GA
66025,"MIDLAND CO",6331,OH
66052,"AMERICAN MIDLAND CORP",6799,NY
66388,"MILLER INDUSTRIES INC",6512,FL
66496,"MILLS MUSIC TRUST",6794,NY
67088,"MITSUBISHI UFJ FINANCIAL GROUP INC",6029,M0
67199,"FORTUNE FINANCIAL INC",6331,FL
67618,"MONMOUTH CAPITAL CORP",6500,NJ
67625,"MONMOUTH REAL ESTATE INVESTMENT CORP",6798,NJ
67715,"M CORP",6361,MT
68100,"MORGAN J P & CO INC",6022,NY
68330,"MGI PROPERTIES LIQUIDATING TRUST",6798,MA
68336,"AMERIBANC INVESTORS GROUP",6035,VA
68480,"PRESERVER GROUP INC",6331,NJ
68836,"MULTIVEST REAL ESTATE FUND LTD SERIES VII",6798,FL
68837,"MULTIVEST REAL ESTATE FUND LTD SERIES I",6798,FL
68841,"MULTIVEST REAL ESTATE FUND LTD SERIES V",6798,FL
69422,"INTERGROUP CORP",6513,CA
69834,"NATIONAL BANCSHARES CORP OF TEXAS",6021,TX
69952,"CORESTATES FINANCIAL CORP",6021,PA
69968,"NATIONAL CITY BANCORPORATION",6021,MN
69970,"NATIONAL CITY CORP",6021,OH
69972,"NATIONAL CITY LINES INC",6552,TX
70040,"FIRST CHICAGO NBD CORP",6021,IL
70453,"NATIONAL PROPERTIES CORP",6512,IA
70502,"NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/",6159,VA
70684,"NATIONAL WESTERN LIFE INSURANCE CO",6311,TX
70696,"NATIONWIDE CORP",6311,OH
70715,"NATIONWIDE LIFE INSURANCE CO SEPARATE ACCOUNT NO 1",6311,OH
70816,"NAVARRE 500 BUILDING ASSOCIATES",6512,NY
70846,"NBD BANK N A",6799,MI
70858,"BANK OF AMERICA CORP /DE/",6021,NC
70998,"NELSON L B CORP",6552,CA
71322,"BANK OF NEW ENGLAND CORP",6021,MA
71480,"NEW MEXICO BANQUEST CORP",6022,NM
71519,"NEW PLAN REALTY TRUST",6798,NY
71528,"COMMODORE ENVIRONMENTAL SERVICES INC /DE/",6500,NY
71546,"SOUTHLAND NATIONAL INSURANCE CORP",6311,AL
71978,"J C NICHOLS CO",6512,MO
72499,"ALLIANZ LIFE INSURANCE CO OF NORTH AMERICA",6311,MN
72633,"NORTH EUROPEAN OIL ROYALTY TRUST",6792,NJ
72654,"PYRAMIDWEST DEVELOPMENT CORP",6022,IL
72655,"NORTH LILY MINING CO",6162,CO
72859,"ENRON CORP",6211,TX
72971,"WELLS FARGO & COMPANY/MN",6021,CA
73078,"NORTHWESTERN MUTUAL LIFE MORTGAGE & REALTY INVESTORS",6798,WI
73124,"NORTHERN TRUST CORP",6022,IL
73225,"NRG INC",6799,IL
73313,"CAPSURE HOLDINGS CORP",6331,IL
73952,"OHIO CASUALTY CORP",6331,OH
73960,"OHIO EDISON CO",6189,OH
74208,"UDR, Inc.",6798,CO
74260,"OLD REPUBLIC INTERNATIONAL CORP",6351,IL
74273,"OLD STONE CORP",6035,RI
74347,"RE CAPITAL CORP /DE/",6331,CT
74431,"FIRSTIER FINANCIAL INC /NE/",6021,NE
74454,"CEC PROPERTIES INC",6519,CA
74664,"OPPENHEIMER INDUSTRIES INC",6532,CA
74751,"OPTIONS CLEARING CORP",6200,IL
74783,"ACCEPTANCE INSURANCE COMPANIES INC",6331,IA
74931,"ORION CAPITAL CORP",6351,NY
75053,"EWEB21 CORP",6799,M5
75058,"OSTERLOH & DURHAM INSURANCE BROKERS OF NORTH AMERICA INC",6411,CA
75754,"PAINE WEBBER GROUP INC",6211,NY
75894,"PALMETTO REAL ESTATE TRUST",6798,SC
76057,"PATLEX CORP",6794,NM
76951,"PEERLESS INSURANCE CO",6331,MA
77098,"AMERICAN PREMIER UNDERWRITERS INC",6331,OH
77193,"PENNEY J C FUNDING CORP",6153,TX
77281,"PENNSYLVANIA REAL ESTATE INVESTMENT TRUST",6798,PA
77371,"PEOPLES BANCSHARES INC",6036,MA
77776,"PHH CORP",6159,NJ
78457,"PIEDMONT MANAGEMENT CO INC",6311,NY
78778,"US BANCORP INVESTMENTS INC",6211,MN
78838,"PITTSBURGH & WEST VIRGINIA RAILROAD",6798,NY
79259,"VALUE PROPERTY TRUST",6798,NJ
79282,"BROWN & BROWN INC",6411,FL
79321,"KEYSTONE INTERNATIONAL FUND INC",6792,MA
79661,"PORTSMOUTH SQUARE INC",6552,CA
80124,"PRESIDENTIAL LIFE CORP",6311,NY
80255,"PRICE T ROWE ASSOCIATES INC /MD/",6200,MD
80324,"PRINCETON AMERICAN CORP",6512,AZ
80557,"PROFESSIONAL INVESTORS INSURANCE GROUP INC",6311,OK
80661,"PROGRESSIVE CORP/OH/",6331,OH
80718,"PROPERTY CAPITAL TRUST",6798,MA
80737,"ARCHSTONE",6798,CO
81157,"PGI INC",6500,MO
81264,"PUTNAM INCOME FUND",6792,MA
81893,"RAMAPO FINANCIAL CORP",6022,NJ
82373,"REAL ESTATE INVESTMENT TRUST OF MARYLAND",6798,CA
82473,"INNSUITES HOSPITALITY TRUST",6798,AZ
82788,"REFAC OPTICAL GROUP",6794,NJ
83047,"RELIANCE FINANCIAL SERVICES CORP",6311,NY
83053,"RELIANCE INSURANCE CO",6331,PA
83125,"FIRST MONTAUK FINANCIAL CORP",6211,NJ
83216,"FRANKLIN CAPITAL CORP /DE/",6361,OH
83246,"HSBC USA INC /MD/",6021,NY
83402,"RESOURCE AMERICA, INC.",6799,PA
83509,"REVENUE PROPERTIES CO LTD",6512,A6
84246,"RLI CORP",6331,IL
84651,"ROCKWOOD NATIONAL CORP",6552,LA
85149,"WEBFINANCIAL CORP",6159,NY
85388,"ROUSE COMPANY",6512,MD
85535,"ROYAL GOLD INC",6795,CO
85942,"WATERMARK INVESTORS REALTY TRUST",6798,NC
86104,"SAFECO CORP",6331,WA
86115,"SAFEGUARD SCIENTIFICS INC",6799,PA
86134,"SAFETY FUND CORP",6022,MA
86312,"TRAVELERS COMPANIES, INC.",6331,MN
86759,"SANTA FE FINANCIAL CORP",6500,CA
86902,"SAUL B F REAL ESTATE INVESTMENT TRUST",6035,MD
87009,"OIL RETRIEVAL SYSTEMS INC",6792,TX
87047,"SB PARTNERS",6512,CT
88121,"SEABOARD CORP /DE/",6221,KS
88175,"AVAILENT FINANCIAL INC",6199,TX
88255,"SEARS ROEBUCK ACCEPTANCE CORP",6153,DE
88547,"SECURITY INVESTMENTS GROUP INC",6035,NJ
88572,"SECURITY LAND & DEVELOPMENT CORP",6532,GA
89377,"Shapell Industries, Inc.",6552,PA
90366,"SILVER MOUNTAIN LEAD MINES INC",6795,ID
90498,"SIMMONS FIRST NATIONAL CORP",6021,AR
90794,"60 EAST 42ND STREET ASSOCIATES L.L.C.",6512,NY
91576,"KEYCORP /NEW/",6021,OH
91980,"SOUTHEAST BANKING CORP /FL/",6021,FL
92066,"EFFICIENCY LODGE INC",6512,GA
92081,"SOUTHTRUST CORP",6021,AL
92230,"BB&T CORP",6021,NC
92284,"SOUTHERN SCOTTISH INNS INC",6794,GA
92286,"SOUTHERN SECURITIES CORP",6311,IN
92339,"COLONIAL BANCGROUP INC",6022,AL
92342,"LAURENTIAN CAPITAL CORP",6311,PA
92440,"SOUTHWEST NATIONAL CORP",6021,PA
92522,"TOLTEC REAL ESTATE CORP",6792,AZ
92545,"SOVEREIGN CORP",6311,CA
93451,"STERLING BANCORP",6021,NY
93751,"STATE STREET CORP",6022,MA
93779,"AMERICAN LIFE HOLDINGS INC",6311,IA
94140,"STERLING FINANCIAL CORP /MO/",6311,TX
94344,"STEWART INFORMATION SERVICES CORP",6361,TX
94997,"STUDENT LOAN MARKETING ASSOCIATION",6111,DC
96221,"LEUCADIA INC",6141,NY
96638,"ADVANTA CORP",6141,PA
96664,"Renewal Fuels, Inc.",6770,WI
96869,"TEJON RANCH CO",6500,CA
96959,"TLM CORP",6512,NY
97148,"TEL OFFSHORE TRUST",6792,TX
97167,"TENNESSEE NATIONAL BANCSHARES INC",6021,TN
97196,"AMIC Holdings, Inc.",6321,NY
97517,"TEXAS PACIFIC LAND TRUST",6792,TX
98561,"TOKIO MARINE & NICHIDO FIRE INSURANCE CO., LTD",6331,M0
98827,"TOWER PROPERTIES CO",6512,MO
99189,"TRANSAMERICA CORP",6311,IA
99193,"TRANSAMERICA FINANCE CORP",6141,IL
99235,"TRANSCO REALTY TRUST",6798,FL
99321,"TRANSCAPITAL FINANCIAL CORP",6035,FL
99429,"TRAVELERS CORP",6331,CT
99506,"TSI INC /MT/",6361,MT
99680,"FREMONT GOLD CORP",6770,WA
99771,"TRINITY CAPITAL CORP",6021,NM
99927,"TROY INVESTMENT FUND",6512,CA
100307,"MARK TWAIN BANCSHARES INC/MO",6022,MO
100320,"CONSUMERS FINANCIAL CORP",6351,PA
100331,"21ST CENTURY INSURANCE GROUP",6331,CA
100412,"250 WEST 57TH ST ASSOCIATES L.L.C.",6512,NY
100716,"UNICO AMERICAN CORP",6331,CA
100893,"UNION PLANTERS CORP",6021,TN
100937,"SIGNET BANK /VA/",6189,MD
101032,"UNITED BANCORP /OR/",6022,OR
101090,"UNITED CAROLINA BANCSHARES CORP",6022,NC
101150,"UNITED EDUCATORS INC",6311,TX
101199,"UNITED FIRE GROUP INC",6331,IA
101252,"UNITED GROUP INC",6199,NC
101285,"UNITED INSURANCE CO OF AMERICA",6311,IL
101320,"SUMMIT BANCORP/NJ/",6021,NJ
101382,"UMB FINANCIAL CORP",6021,MO
101390,"UNITED MORTGAGE TRUST",6798,TX
101424,"UNITED PARK CITY MINES CO",6552,UT
101542,"US BANCORP /OR/",6021,OR
101679,"USL CAPITAL CORP/",6172,MI
